443.0,156.0
443.0,156.0
444.0,158.0
445.0,158.0
446.0,159.0
446.0,160.0
447.0,160.5
447.0,162.0
448.0,163.0
449.0,163.5
449.0,164.0
449.5,165.0
450.5,165.5
450.5,168.5
451.0,169.0
452.0,170.0
453.0,171.5
454.0,173.5
455.0,174.5
455.5,176.5
456.5,178.5
457.5,179.5
458.0,180.5
459.0,182.5
459.5,185.0
460.0,187.0
462.5,188.5
463.5,192.0
465.0,193.0
465.0,194.5
466.0,196.5
468.0,199.5
470.0,202.5
471.5,204.5
473.0,206.5
474.0,209.5
475.5,212.0
476.5,213.5
477.5,216.5
479.0,218.5
480.0,221.5
481.5,223.5
483.0,226.0
484.0,228.5
485.5,233.0
486.5,235.0
489.5,235.5
490.5,240.0
492.0,242.0
493.0,245.0
494.0,248.5
496.5,250.5
499.0,254.5
501.0,257.5
502.0,260.5
505.0,264.5
507.0,267.5
508.0,271.0
509.5,274.0
510.5,276.0
513.5,280.5
514.0,283.0
517.0,288.0
518.5,290.5
520.0,295.0
522.0,298.5
524.0,301.0
525.5,304.5
527.5,307.5
531.0,312.0
533.5,314.5
536.5,319.0
537.5,322.0
539.0,323.5
541.5,328.0
544.0,330.5
546.0,336.5
547.5,340.0
549.5,344.5
552.0,346.5
553.5,350.0
555.5,354.0
557.0,356.0
560.0,360.0
562.5,365.0
564.0,367.0
565.5,369.0
