419.5,275.5
421.5,278.0
424.0,282.0
426.0,285.0
428.0,288.0
430.5,290.5
432.0,292.5
435.0,299.0
436.5,302.5
438.0,306.5
440.0,309.0
442.0,312.0
444.0,315.5
446.0,319.5
448.0,323.5
450.0,327.0
453.0,332.0
456.5,336.0
458.0,339.0
462.0,343.0
463.5,348.5
465.5,354.0
467.5,359.0
470.0,360.5
473.0,366.0
474.5,370.5
478.0,374.5
479.5,379.5
482.5,384.0
484.5,386.0
486.5,391.0
490.0,397.0
493.0,401.0
494.5,404.0
497.0,407.5
499.0,411.5
502.0,417.5
505.5,422.5
508.5,428.0
511.0,433.5
513.0,436.0
517.0,442.5
519.5,447.5
521.5,451.5
523.5,456.0
526.0,459.5
530.0,465.0
533.0,471.0
535.5,475.5
539.0,481.0
541.0,484.5
545.0,491.0
548.0,496.5
550.5,502.5
553.0,504.5
556.0,510.0
559.0,516.0
562.0,522.0
565.0,527.5
568.0,531.5
572.0,540.5
575.0,546.0
578.0,548.0
580.5,552.5
584.5,556.5
588.5,560.0
